(変更しないでください) 取引先企業,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,企業名,住所,社員数,資本金,企業カナ,企業名（英語）,検索文字列（略称可）,営業担当者,休眠顧客,取引先状況
cab08000-4ec5-ea11-a812-000d3a51d17e,6Cw1PQRcVANUGu9mCdeJNI2XO+lvSyJ0kDxKtCqRa/AXp96hwQh1T8ug4PXzaYhdg5K4hOH79eBtmEhkI8TE9w==,2020/7/13 21:15,(なし),,,,,,,サイン #,いいえ,
4b13e1cb-35aa-e711-811e-c4346bc510bc,aE1ofay5hI7F3eYrdIA6SR7mSvhpKBtrVdYjv1RVFIf4yTKerVtQ0IFNd6reWHvmX3ZtlEz6AQUv7MsEyaPMQQ==,2020/11/12 21:26,会 介護老人保健施設 ハートケア横浜小雀,神奈川県横浜市戸塚区小雀2248-1,151,,カイカイゴロウジンホケンシセツハートケアヨコハマコスズメ,,SUZUME,サイン #,いいえ,
f316e1cb-35aa-e711-811e-c4346bc510bc,u7cbyY96I3QASIAUloQ/9KwcH0EvQiHchCQ77FWWAZhWrrkoGbrVVo0HD+e+vON+R0Zi2M8xSG1Yw+P8vTtqpw==,2020/11/12 21:22,式会社 フジアポテコ,東京都港区新橋 4－20－8 ,17,,コ,,FUJIAPO, 未央,はい,休眠
fca1a833-a5ff-e911-a811-000d3a51d0db,X/fs7IJP986IvSsb5lpmNdhtzE0UVVTXc9tKksnLH9UnxWpuPOb5cfVdg6w3k0KlfZVu8xwtQuxnIUEqde28HA==,2019/11/5 15:02,法人国立高等専門学校機構宇部工業高等専門学校,,118,,ョウセイホウジンコクリツコウトウセンモンガッコウキコウキコウウベコウギョウコウトウセンモンガッコウ,,, 香菜,いいえ,
ed3d5b49-a4ff-e911-a811-000d3a51d0db,FrAZnxFFft+r25yLvCVyxP3EKWitWJe9nZQurXhbCyZkdhVe12Owv1AVzvDS+UCk9XmpbbvWZlL0CDA+8pH4Mg==,2019/11/5 15:02,法人国立高等専門学校機構北九州工業高等専門学校,,118,,ョウセイホウジンコクリツコウトウセンモンガッコウキコウキタキュウシュウコウギョウコウトウセンモンガッコウ,,, 香菜,いいえ,
b1f88aeb-e26e-ea11-a811-000d3a519cf6,idACIXaz4+UktYfzLgRpSuNrwnKnyoCdiRPWczYf2At1JFUNGfNTWl4qVq4V3wRNzoLW9qlaDx70vNZLRQMmPw==,2020/3/25 21:52,:DeNA,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ,2558,10397000000,,,,サイン #,いいえ,
d517e1cb-35aa-e711-811e-c4346bc510bc,YsAfDF1pmaT9/ScNYJR4Zw4sAd8gnX3HRBfzFes/3kWnzbm7YxjcdKFMCNa6aX/gHwVSFxM2PQUkUoWvHl8Zmw==,2017/10/6 1:45,火災,,,,,,,サイン #,いいえ,
fb972e93-ae59-ea11-a811-000d3a51d17e,Ud+IWPqGbkLMymNAekUFaSTZ3EKV+n0dV79aIYBJZfYwonhEguFmyOIfSggRlbwFEog0ZxWoW5vxFoRm5Gjc7A==,2020/2/27 22:14,●,,,,,,,サイン #,いいえ,
22b1ae9f-7270-ea11-a811-000d3a519cf6,MJK+jA3RxbPgI/Yf6dgudsCIYA/8Av9dQ/pBKOLv5qCGdHOJN/6M35ytTWBTnR9Uq4l8tChFPZndVoNJYrh7Gg==,2020/3/27 21:33,ャパン株式会社,,,,,,,サイン #,いいえ,
80f3da40-4b41-ea11-a812-000d3a51d17e,EFPVhVlyXtsYnIQhZbikR7aX8VnDGRk9AxYWB+K3Jk3dujb8tJ5l20gjlPQONlpS+kLn3bX5STJyAiGNOJlH0A==,2020/1/27 21:23,ーションズ株式会社,,,,,,,サイン #,いいえ,
81b40d99-e26e-ea11-a811-000d3a51d17e,LnlqktJKFEKqh3jheIDuEykVCD61S6tF5K9yjewumtbxT1DEzsXIbbzKQ44vhaji+r8FFoJYDy6ezS9KtZ/yFg==,2020/3/25 21:50,式会社,,,,,,,サイン #,いいえ,
f5fdcf02-969f-ea11-a812-000d3a51d17e,e5rAYLql8Ob5V1SYz7chcwwFNtxVm4UYyhWikGf21eV3RCUOr3Ugf9koVMXr2YwnZU7M2YSEuUxAsAbm3zBJ1Q==,2020/5/26 21:15,ズ株式会社,,,,,,,サイン #,いいえ,
a69e1f8a-456e-ea11-a811-000d3a519cf6,tvzL5cTq8UCyKcK7k0SCjFKlj8aQjbHc2yfEQnvT/4i1zXyxDCSWC8GAF8w7uL/W0WJVgePr9J4achuGVcwf9g==,2020/3/25 3:06,SP,,,,,,,サイン #,いいえ,
a4a6e158-aa6f-ea11-a811-000d3a519cf6,BZ8TBUy0hSNl0MtB2wqvLl4LzWFvf8+IYUuXwyIUAmGFKOBdpShiVFZJ8lrw6iG2I4Uhdat+Uc/oLgtFTKGLeQ==,2020/3/26 21:40,本万国博覧会誘致委員会,,,,,,,サイン #,いいえ,
435a1105-33aa-e711-811e-c4346bc53068,NMPyZGvVfmW3fbgbR/1k2YzN1WVZw3By2xbGqKyitTld8f+MCIvVyj7KgMjaRLvdcoNTstbgTI1Wrz9GwuAzxg==,2019/1/24 10:15,Century Fox,,,,Century Fox,21st Century Fox,21ｓｔFox,サイン #,いいえ,
35685084-e258-ea11-a811-000d3a519cf6,QQM+4AyA98GLQYZDyZJgtqDE6LQPsvMwi4ucaVjEAM6e2LnQsN1Jsw1PlTdM8w/qot2nPqTjTcoqxNc4uCsU6A==,2020/2/26 21:54,ACTORY GROUP,東京都千代田区麹町3-10-1 FJG本社ビル,1509,50000000,,,,サイン #,いいえ,
ca9e59f5-3733-e911-a96e-000d3a51d082,NjIbxEK52A0HPOgtSIkFDqsNAy6YKkoTJ1nbeffT48Tr4+5b3y+zqoc0+2NUa4TmWXc8r3bUaqmW8LUU6JRTdA==,2019/2/18 4:45,50,,,,50,,,サイン #,いいえ,
3c9941f3-b207-eb11-a812-000d3a51d92b,Ra2pWiWe7V06TuVR8kdV18UfsehXn1pNaaw1DPQqFa+HpAI/Sl71YiDh/32QYGNRCgPFuDFRu5RElQHclvGK/A==,2020/10/6 9:10,b,,,,,,,サイン #,いいえ,
87b34d46-fa31-ea11-a810-000d3a519cf6,lDtGn1GzBqoNAi3hQ9aTCB7FXqIKt0uXVTX25hQOs5vcPXvz67LqLrd6QJpIbJrYbfARG4Z509Fg890rYs/07w==,2020/1/15 0:10, 8ight Limited,,,,8ight,,,サイン #,いいえ,
91c6ef33-ff63-ea11-a811-000d3a519cf6,px6ArUVKGzVyIM5bjDelL7B7wwXMMzHH/O/+8SZWPVGzdjtavcufF1GOS+bYqDC5JAgC4xGJK6JxrK4DdUXBvw==,2020/11/12 21:33,8IGHT Japan合同会社,,,,8IGHT Japan,,, 袈琳,いいえ,
4f30da3d-4c41-ea11-a812-000d3a51d17e,QEw/gtaDRYkdIIpQuMTy/9ODhaGwSGzlnEqzpL95zJqI/yjUzVENZLYe3eF84PFcyZxIOPV6fn6+f2yFQHHZ8w==,2020/1/27 21:30,ODUKTION,,,,,,,サイン #,いいえ,
5fc71f01-9cd2-e811-a964-000d3a51dece,qnB/TeOq86F/z3rGaMOYv2+y37YoZwrnhN72Bvod3sGqmbIIBp2rs8u8b4W+XUsThWfX3rJKBVZ4aI9GhzwDAA==,2019/8/21 15:02,ーニー株式会社,,,,カーニーカブシキガイシャ,,, 鴻貴,いいえ,
d3501105-33aa-e711-811e-c4346bc53068,VYNs+UohzDnH+B0voFZk71+sE3aZia+8IGZEyW9s46BmmSHxQv+/9fvQO1dpxuExW3EGnmW4bv0l2VB/APqlMQ==,2017/10/6 1:22,ュニケーションズ株式会社,東京都渋谷区代々木3-22-7 新宿文化クイントビル3F,,1425000000,コミュニケーションズ,,,サイン #,いいえ,
9a8d73a3-32aa-e711-811e-c4346bc52044,qk2YzQ0m7leMUb5VQZoEKqPPogML4ZONOACRkh43J0aQXR1me+YzcTuL2hYmjSO+/NEGwgpDEfEtn8ZAUVBwaw==,2019/1/24 10:15,トワークス株式会社,,,,トワークス,"A10 Networks, K.K.",,サイン #,いいえ,
