(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
f25afd1e-403b-e911-a971-000d3a51ce98,0Zy3ruyu0RuPyzL4vrrTnEGAHpWNMR9HZ6dUrbzq7lc/KobSiY6D004TpQF78PtFLIyg9xYqHWhx/S1waIc4VQ==,2020/10/27 6:43,S0001,VMware Workspace ONE PoC サービス,非サブスクリプション,
f45afd1e-403b-e911-a971-000d3a51ce98,GTdAptoTkbUlKzG9ofuW4zZ2ilCZUT3XFH1uVaRqS2BMPK/8rPiJv8wuFjBQSuTxrJrdJN1G3+iLlhfghp1zag==,2020/10/27 6:43,S0002,Ambient Office Active Directory with ThreatSTOP,非サブスクリプション,
f65afd1e-403b-e911-a971-000d3a51ce98,KCep+ytgR1W2v6qJq0fTycpR00Qt+SWpKqCaaYkb5OauDMkY4khcHPHLAXaQElTMusMVyOB7rMKhNYXmOICREA==,2020/10/27 6:43,S0003,Ambient Office Active Directory ドメインコントローラーリプレースサービス,非サブスクリプション,
f85afd1e-403b-e911-a971-000d3a51ce98,kacBQeufE0ozLKc2kZ4IvQv8ckD12cq/Ny2F4WxprqgJVydp9F2lsbBEPhVNskqYH72uBp3h0jDzoJ6EBoeHmA==,2020/10/27 6:43,S0004,Ambient Office Exchange Online 予定表移行サービス,非サブスクリプション,
fa5afd1e-403b-e911-a971-000d3a51ce98,GZRY4jJPZ47nz83aKHYDX+4k7nTOtzOFUieFvdGLCihA6Pd1FxmLalMYi/ncZJrMy6lyuM+2f9mizMpaAIJP5g==,2020/10/27 6:43,S0005,Ambient Office Live Support for Azure,サブスクリプション,
fc5afd1e-403b-e911-a971-000d3a51ce98,+J/Heu0WOveQOuY92xQBE+CWkRbRUae3FfA++MwhrBS7V9+JgFkWl2WACt6bSQjm+czxjyOVkaFayi0iCTFCDA==,2020/10/27 6:43,S0006,Ambient Office Live Support for Dynamics 365,サブスクリプション,
fe5afd1e-403b-e911-a971-000d3a51ce98,cGk9YOpi/gIv4KP7SwfdIT29Rx71DsZCKV7oadCUFmJmxkxEYe22N1FPp7ppJFXmtPljWEXN4b8ZFJEW1LU4yg==,2020/10/27 6:43,S0007,Ambient Office Live Support for EMS,サブスクリプション,
005bfd1e-403b-e911-a971-000d3a51ce98,Xru0mz3N9LKukc81GAgonDuZ9UkoLyIvsHHAeZrDBI/z6AmOkRQeBzfHkAyRfkYinDWBmn/gxhHdOSrIkHHjJw==,2020/10/27 6:43,S0008,Ambient Office Live Support for Exchange,サブスクリプション,
025bfd1e-403b-e911-a971-000d3a51ce98,sJZtTXJOK5U8i2D2xc43pZF1/rIPLMoOfqlC3yh7gYzZSEpk2yG0OyO3/ieCKdtbNdaKQRcKjPkJwfo/f6eWGg==,2020/10/27 6:43,S0009,Ambient Office Live Support for Office 365,サブスクリプション,
045bfd1e-403b-e911-a971-000d3a51ce98,RoavXSen1f7iK+Rojof2SR3EXn+nNFa41AVjXnCkFKFIJfeN9AH4GXfcnUQQ9FJ743fw04gMIkOMAX23VxQzjQ==,2020/10/27 6:43,S0010,Ambient Office Live Support for SharePoint,サブスクリプション,
085bfd1e-403b-e911-a971-000d3a51ce98,TiU4fzSLiMMujHXm/c/czjRaLvylxBJGyMkVQ4T2u5ywN9/DpFKVf9i5Jca0GVPxI4LUKQ2ErryS3iG4c4rBXg==,2020/10/27 6:43,S0012,Ambient Office SharePoint de Portal,非サブスクリプション,
0a5bfd1e-403b-e911-a971-000d3a51ce98,VSI6rTnlpSeogjxM7Gomq2jQ/mGV8OjBEmHqO5dqnfpUTQI6j+4SxiZpWNXOvQEcbbeZnQfg1RiSZuAkMC+IxQ==,2020/10/27 6:43,S0013,Ambient Office Skype for Business 外線発着信サービス,非サブスクリプション,
0c5bfd1e-403b-e911-a971-000d3a51ce98,dak+AVbAx4tvzFMzpiniIItDfyTLVPkkhM56r9J0T/82IeqCw8BaEXcHTrcYcZI1zxyyVEX3JIjqKQD77dmThA==,2020/10/27 6:43,S0014,Ambient Office TerasTrust,サブスクリプション,
0e5bfd1e-403b-e911-a971-000d3a51ce98,lCT/Zp27malx2apqYLTLuTnWUuGNYcvjTAt2mAwVCGCY5omZ+7qnjk25p2sqq7cI27Pcn0E9VJggfjv3zxI6XQ==,2020/10/27 6:43,S0015,Ambient Office Windows 10 アドバイザリーサービス,非サブスクリプション,
105bfd1e-403b-e911-a971-000d3a51ce98,j3aeYpHgiThnmWr8lLubv0Bd6YhnsZrU1t6xW5h0MLh52DtIPpqNb1+gROwwtWFktn/TFG8TSshFf6CNa2NdpA==,2020/10/27 6:43,S0016,Ambient Office Windows 10 導入・移行サービス,非サブスクリプション,
145bfd1e-403b-e911-a971-000d3a51ce98,WMv53UNffWsDrga+mT9EbwyQURsv1cjgZoarffKgx0pY0fjM/B/4fDyyRdoYFeqcOlxQSVpMXZyfpA48EQIVdw==,2020/10/27 6:43,S0018,Ambient Office クラウドメール移行サービス,非サブスクリプション,
165bfd1e-403b-e911-a971-000d3a51ce98,9IubDBkxdMeN/GoYTL+Mbmb/TCuKsGa/oSQga9BtsGHs0vksdltvQc5HLeVsHhVl0MVe9DhpBd1/Bz65B2QTJg==,2020/10/27 6:43,S0019,metis セキュアファイル便 for SharePoint Online,サブスクリプション,
195bfd1e-403b-e911-a971-000d3a51ce98,s9wLYc8H5Xvf9/rn/7YsC31T7mXsA/q8kd+Xl474LXpNKo84m0plbOKWmL61Wer/i16bjGfCwzwZHu/btJxuaQ==,2020/10/27 6:43,S0020,Ambient Office パイプライン管理ソリューション,非サブスクリプション,
1b5bfd1e-403b-e911-a971-000d3a51ce98,Eg5WkQJcOQo/fQFAv5u15lQJNAbF1Ew6tLQXaEW3FzhWu5mxW1Eg9vDqOGrSDma62U/EpXFlD6qywuce7xGRCg==,2020/10/27 6:43,S0021,Ambient Office 保険数理計算 HPC Azure トライアルサービス,非サブスクリプション,
1d5bfd1e-403b-e911-a971-000d3a51ce98,0otlv/WUU3ZLxxJ1VD/PraglwGnv75famEPCbf8gOuILItX0+e3+wqMFTzTq+s6twIkAVTsuJ9GCtk3ifUWlfQ==,2020/10/27 6:43,S0022,Azure Lift & Shift 適合性アセスメントサービス,非サブスクリプション,
1f5bfd1e-403b-e911-a971-000d3a51ce98,EgTZPs4MKh1w5KuiF6qwBefPwCFLEyMoG9gX3wMquloOF7zqjjUMO3uGtxlx8P8IG/1tQPZYoPZAulZmOpaFjw==,2020/10/27 6:43,S0023,Azure Site Recovery 災害対策ソリューション,非サブスクリプション,
215bfd1e-403b-e911-a971-000d3a51ce98,eXPwI0v/SnsscYDmQED9VZ3eij2varSQvnbJoOrqmpeRIj6qfXlCizN2bfxO94rFzSDwsHE9/csDsek4Ji3QEw==,2020/10/27 6:43,S0024,Citrix Cloud PoC 環境構築サービス,非サブスクリプション,
235bfd1e-403b-e911-a971-000d3a51ce98,B2k7JngU3o/Jd7eJYbAkKw2AVb4FgqBsSvBC5bHnZtdSpjxgJ51qsnUxO2FMGj7dIp+gkAqCHZz91oYXOKQJ1A==,2020/10/27 6:43,S0025,Cloudera on Azure for ビッグデータ PoC,非サブスクリプション,
255bfd1e-403b-e911-a971-000d3a51ce98,RZvg6SMXtI607qQRhJgMzUgeX96i8K2b9T+Zxzu7BeVA6M/yqFw5JysALkxsCe4TkXuiEd6FrGhGmJk7xau/hQ==,2020/10/27 6:43,S0026,Content Box サービス for Microsoft 365,サブスクリプション,
275bfd1e-403b-e911-a971-000d3a51ce98,aH5R/p3BLee8ZccELXR4CnpWThzk62HZAxUCHlwMqirNNq6upxHrN2gPHEcYdEZj/Bl58vWwg+zRRuo7QfezWg==,2020/10/27 6:43,S0027,Data Planet for AWS,非サブスクリプション,
295bfd1e-403b-e911-a971-000d3a51ce98,MS32mtqWvXiaGH04pdDIFOUpLjl4YoIYCEOhi6wagURw4jBbQ57jOjFJ/wArsQ4t2BCY/bqc/FdXsM+ORpOapA==,2020/10/27 6:43,S0028,Dell EMC VxRail E560 シリーズ Backup & DR ソリューション,非サブスクリプション,
2b5bfd1e-403b-e911-a971-000d3a51ce98,s6bV6HPzEd8Lmd+lGkTDYAcN6vw5BRJ6LCPXDMj/jHl0/6rk8nSjiwrmu2XfZhr99sgU5gZIY+GwsTh8heCZTQ==,2020/10/27 6:43,S0029,Dynamics 365 PoC環境構築サービス,非サブスクリプション,
2d5bfd1e-403b-e911-a971-000d3a51ce98,b3yZyYualo/JaSxkvHvhw7cX1BZdbQEwkE2a5qfdsQrhOKn01X/7U3z5tQICJ/KIzul414iTdQ22v/eNdlXlWg==,2020/10/27 6:43,S0030,Dynamics CRM カスタマーポータル,非サブスクリプション,
2f5bfd1e-403b-e911-a971-000d3a51ce98,Va83QHLbOHsIu5Ouvp2ohWxqipZWIAtrfjZitW3aYlyFnfy5OCnR/knwy1gG4YLnkwozLalYj+SPt2znKs+8Hw==,2020/10/27 6:43,S0031,Dynamics CRM ポータルソリューションテンプレート,非サブスクリプション,
